OPP,id_color,FECHA,id_responsable
1,1,20190624,1
2,11,20190625,1
3,1,20190625,1
4,3,20190925,1
5,3,20190628,1
6,1,20190701,1
7,1,20190702,1
8,1,20190703,1
9,1,20190709,1
10,2,20190710,1
11,2,20190712,1
12,1,20190715,1
13,1,20190713,1
14,2,20190718,1
15,2,20190725,1
16,1,20190723,1
17,2,20190724,1
18,1,20190729,1
19,1,20190731,1
20,4,20190731,1
21,3,20190805,1
22,1,20190807,1
23,4,20190807,1
24,1,20190813,1
25,1,20190816,1
26,2,20190819,1
27,2,20190819,1
28,4,20190820,1
29,11,20190822,1
30,1,20190823,1
31,4,20190829,1
32,2,20190827,1
33,1,20190827,1
34,3,20190902,1
35,1,20190903,1
36,1,20190904,1
37,2,20190905,1
38,1,20190911,1
39,4,20190913,1
40,2,20190916,1
41,2,20190916,1
42,2,20190923,1
43,2,20190926,1
44,2,20190927,1
45,1,20190930,1
46,11,20190930,1
47,1,20191001,1
48,4,20191004,1
49,4,20191007,1
50,1,20191007,1
51,3,20191007,1
52,1,20191009,1
53,1,20191010,1
54,1,20191010,1
55,1,20191010,1
56,2,20191011,1
57,2,20191015,1
58,3,20191016,1
59,3,20191016,1
60,3,20191017,1
61,3,20191018,1
62,2,20191021,1
63,1,20191022,1
64,2,20191023,1
65,1,20191024,1
66,11,20191025,1
67,2,20191025,1
68,2,20191029,1
69,3,20191030,1
70,5,20191031,1
71,1,20191031,1
72,1,20191031,1
73,4,20191104,1
74,1,20191105,1
75,3,20191106,1
76,1,20191108,1
77,2,20191108,1
78,2,20191111,13
79,3,20191113,13
80,2,20191114,13
81,1,20191115,13
82,4,20191121,13
83,3,20191122,13
84,1,20191126,13
85,1,20191126,13
86,1,20191127,13
87,1,20191129,13
88,2,20191129,13
89,2,20191129,13
90,1,20191203,13
91,1,20191204,13
92,3,20191204,13
93,1,20191209,13
94,4,20191206,13
95,12,20191206,13
96,1,20191211,13
97,3,20191212,13
98,1,20191216,13
99,1,20191216,13
100,1,20191217,13
101,1,20191218,13
102,1,20191219,13
103,11,20191220,13
104,2,20191223,13
105,2,20200102,13
106,4,20200102,13
107,1,20200103,13
108,1,20200106,13
109,1,20200107,13
110,3,20200107,13
111,2,20200108,13
112,1,20200114,13
113,1,20200115,13
114,1,20200117,13
115,1,20200120,13
116,2,20200120,13
117,11,20200121,13
118,12,20200122,13
119,2,20200123,13
120,1,20200124,13
121,1,20200124,13
122,2,20200124,13
123,1,20200128,13
124,5,20200129,13
125,3,20200130,13
126,3,20200131,13
127,2,20200131,13
128,2,20200131,13
129,1,20200204,13
130,2,20200205,13
131,11,20200206,13
132,3,20200207,13
133,1,20200207,13
134,1,20200210,13
135,1,20200112,13
136,2,20200213,13
137,2,20200213,13
138,2,20200214,13
139,1,20200214,13
140,2,20200218,13
141,2,20200218,13
142,2,20200220,13
143,11,20200220,13
144,2,20200221,13
145,1,20200224,13
146,11,20200225,13
147,4,20200226,13
148,1,20200227,13
149,1,20200302,13
150,2,20200303,13
151,1,20200305,13
152,1,20200306,13
153,11,20200310,13
154,12,20200310,13
155,1,20200311,13
156,2,20200312,13
157,2,20200317,13
158,1,20200317,13
159,4,20200318,13
160,5,20200318,13
